Movie Title,Genre_1,Budget_usd,Box Office Revenue_usd,baseline_profit,retention_coefficient
The Lazarus Effect,Horror,3300000,38400000,35100000,8.73
Whiplash,Drama,3300000,49000000,45700000,11.14
Tusk,Horror,3000000,1900000,-1100000,0.47
Frances Ha,Drama,3000000,11300000,8300000,2.83
War Room,Drama,3000000,73700000,70700000,18.43
Sinister,Horror,3000000,77700000,74700000,19.42
The Purge,Sci-Fi,3000000,89300000,86300000,22.32
The Witch,Horror,3000000,40400000,37400000,10.1
No One Lives,Horror,2900000,1000000,-1900000,0.26
Robot & Frank,Comedy,2500000,4900000,2400000,1.47
A Haunted House,Comedy,2500000,60100000,57600000,18.03
The Spectacular Now,Drama,2500000,6900000,4400000,2.07
Polis Evo,Action,2400000,17300000,14900000,5.41
Lazer Team,Sci-Fi,2400000,1600000,-800000,0.5
Hit and Run,Action,2000000,14500000,12500000,5.44
Captive,Crime,2000000,2800000,800000,1.05
God's Not Dead,Religious,2000000,62600000,60600000,23.48
Beasts of the Southern Wild,Drama,1800000,21900000,20100000,9.13
Rams,Drama,1750000,1740000,-10000,0.75
Declaration of War,Romance,1500000,6500000,5000000,3.25
Son of Saul,Drama,1500000,6200000,4700000,3.1
Embrace of the Serpent,Adventure,1400000,2800000,1400000,1.5
Mustang,Drama,1300000,4900000,3600000,2.83
The Raid: Redemption ₪,Action,1100000,9140000,8040000,6.23
Chernobyl Diaries,Horror,1000000,37200000,36200000,27.9
The Letters,Drama,1000000,1600000,600000,1.2
The Devil Inside,Horror,1000000,101800000,100800000,76.35
Unfriended,Horror,1000000,64100000,63100000,48.07
You're Next,Horror,1000000,26800000,25800000,20.1
